,Date,Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Short % of Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
0,20200520,NOK,21.04B,20.09B,,11.98,0.96,,1.19,,,0.38,-28.43%,3.13%,5.7700,2.3400,3.3706,3.5789,31.98M,20.81M,5.62B,5.03B,0.00%,4.78%,20.99M,1.01,,0.47%,0.22,6.14%,0.22,6.05%,3.57,161.11%,"Aug 12, 2019","Jul 28, 2019",4:1,"Apr 10, 2000","Dec 30, 2019","Mar 30, 2020",1.45%,0.00%,2.15%,2.31%,,,-2.40%,8.45B,,,-0.1920,,,,,37.22,1.37,3.12,,
1,20200520,TCS,105.15M,788M,5.82,4.63,0.34,0.11,0.38,0.85,9.77,1.89,-73.28%,3.13%,7.9800,1.8000,2.1654,3.4232,321.87k,435.12k,49.37M,17.09M,25.73%,31.33%,3.1M,7.75,16.25%,5.70%,,,,,,0.00%,,,1:2,"Nov 29, 2004","Mar 29, 2019","Dec 27, 2019",1.92%,5.17%,3.13%,6.87%,927.79M,19.02,3.20%,523.68M,80.69M,17.84M,0.3660,-74.10%,13.97M,0.28,689.41M,257.08,1.05,5.55,35.94M,-12.03M
2,20200520,PANL,90.57M,309.73M,7.44,1.48,,0.22,0.53,0.75,6.06,0.87,-42.90%,3.13%,4.3500,1.6000,2.1041,2.6631,18.43k,22.97k,45.06M,19.17M,46.50%,59.38%,8.74k,0.34,0.06%,0.01%,,,0.10,5.28%,,38.89%,"Dec 02, 2019","Nov 19, 2019",,,"Dec 30, 2019","Dec 30, 2019",2.83%,7.91%,4.36%,7.16%,412.2M,9.64,28.10%,68.5M,51.12M,11.66M,0.2700,,50.56M,1.12,177.02M,72.83,1.40,3.79,44.46M,-33.51M
3,20200520,QUAD,146.26M,1.3B,,6.33,1.14,0.04,0.82,0.34,4.04,1.95,-72.91%,3.13%,12.1200,2.0000,2.8111,4.0022,603.13k,320.23k,40.21M,32.22M,23.63%,62.13%,3.76M,6.46,11.77%,7.21%,,,0.90,33.09%,9.39,,"Mar 08, 2020","Feb 26, 2020",,,"Dec 30, 2019","Mar 30, 2020",-3.86%,3.11%,2.96%,-16.75%,3.78B,75.36,-14.40%,731.2M,320.3M,-51.9M,-2.9110,,207.8M,3.86,1.3B,664.29,1.24,3.32,258.8M,271.56M
4,20200520,GCI,161.17M,1.92B,,2.60,,0.07,0.18,0.79,7.53,1.45,-89.48%,3.13%,11.3500,0.6300,0.9886,4.5050,4.64M,5.62M,132.1M,117.58M,5.47%,86.41%,22.62M,2.97,13.31%,13.10%,,,0.76,74.51%,13.99,,"Nov 11, 2019","Oct 30, 2019",,,"Dec 30, 2019","Mar 30, 2020",-7.86%,4.88%,2.73%,-24.39%,2.43B,28.47,144.80%,788.32M,254.92M,-190.89M,-2.2370,,199.65M,1.52,1.98B,221.70,1.05,6.79,54.28M,251.33M
5,20200520,TWO,1.29B,19.7B,,4.20,-0.60,-5.21,0.67,-79.90,,1.62,-64.91%,3.13%,15.8500,2.2500,4.2386,11.2407,9.21M,7.59M,273.53M,271.27M,1.14%,62.82%,5.76M,1,4.61%,4.58%,0.2,4.42%,1.25,27.59%,11.78,,"Apr 28, 2020","Apr 14, 2020",1221:2000,"Nov 01, 2017","Dec 30, 2019","Mar 30, 2020",0.00%,623.03%,-5.99%,-39.59%,-246.6M,-0.90,,1.13B,,-1.6B,-5.8430,,1.47B,5.38,18.95B,652.65,0.15,7.04,,
6,20200520,NYMT,722.85M,22.24B,2.99,3.83,0.65,3.21,0.33,98.62,,1.95,-69.67%,3.13%,6.4700,0.9800,1.8743,4.7380,15.23M,10.05M,377.46M,375.28M,0.57%,47.81%,17.28M,1.04,5.24%,4.53%,,,0.80,43.24%,15.73,125.00%,"Jan 26, 2020","Dec 18, 2019",1:2,"May 28, 2008","Dec 30, 2019","Dec 30, 2019",77.06%,77.90%,0.90%,10.21%,225.46M,1.02,207.50%,211.99M,,144.84M,0.6410,582.00%,134.64M,0.36,21.11B,957.40,6.61,5.84,35.1M,
7,20200520,HAPP,70.25M,43.52M,3.53,3.19,,1.10,0.98,0.68,1.98,,-38.22%,3.13%,6.1000,2.4400,2.9855,4.0144,427.46k,491.2k,25M,8.49M,63.09%,0.01%,50.41k,0.19,1.17%,0.43%,,,,,,0.00%,,,,,"Mar 30, 2019","Sep 29, 2019",28.72%,33.33%,21.18%,31.61%,63.86M,2.78,-0.20%,32.25M,21.97M,18.34M,0.7970,-4.30%,23.83M,1.04,2.04M,3.07,11.72,2.88,10.39M,10.29M
8,20200520,OPK,1.82B,1.69B,,-14.34,-0.51,2.05,1.18,1.89,-27.84,2.27,31.90%,3.13%,2.9100,1.1200,1.9180,1.6513,18.42M,19.99M,669.83M,416.08M,39.85%,26.36%,98.38M,7.58,25.22%,15.08%,,,,,,0.00%,,,,,"Dec 30, 2019","Mar 30, 2020",-32.92%,-17.14%,-3.97%,-17.71%,890.95M,1.46,-4.90%,264.95M,-60.63M,-293.3M,-0.4830,,34.53M,0.05,315.69M,20.39,1.12,2.31,-166.9M,-79.79M
9,20200520,PBI,403.95M,2.55B,,3.77,-0.59,0.13,13.60,0.79,6.82,2.70,-51.65%,3.13%,5.5000,1.6700,2.3506,3.5121,3.25M,2.11M,172.63M,171.21M,0.66%,80.82%,33.35M,9.98,23.78%,17.69%,0.2,9.48%,0.20,8.51%,6.39,,"Jun 07, 2020","May 20, 2020",2:1,"Jan 19, 1998","Dec 30, 2019","Mar 30, 2020",-0.35%,6.56%,2.46%,-303.76%,3.21B,18.59,0.10%,1.28B,373.43M,-175.86M,-0.0660,,730.25M,4.23,2.84B,9640.25,1.30,0.17,116.19M,105.54M
