,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,CallPut,Symbol
0,NOK200522C00000500,2020-05-15 12:51PM EDT,0.5,2.97,2.87,3.05,0.22,+8.00%,1,0,750.00%,call,NOK
1,NOK200522C00002000,2020-05-12 11:26AM EDT,2.0,1.61,1.42,1.57,0.0,-,1,0,318.75%,call,NOK
2,NOK200522C00002500,2020-05-15 9:33AM EDT,2.5,0.97,0.93,1.04,0.16,+19.75%,1,26,196.88%,call,NOK
3,NOK200522C00003000,2020-05-15 3:36PM EDT,3.0,0.47,0.45,0.47,0.06,+14.63%,17,44,75.00%,call,NOK
4,NOK200522C00003500,2020-05-15 3:59PM EDT,3.5,0.06,0.07,0.07,0.0,-,789,1910,52.34%,call,NOK
5,NOK200522C00004000,2020-05-15 3:58PM EDT,4.0,0.01,0.0,0.01,0.0,-,40,1526,65.63%,call,NOK
6,NOK200522C00004500,2020-05-12 3:59PM EDT,4.5,0.01,0.0,0.01,0.0,-,50,751,106.25%,call,NOK
7,NOK200522C00005000,2020-05-11 10:28AM EDT,5.0,0.01,0.0,0.01,0.0,-,50,55,137.50%,call,NOK
8,NOK200522C00005500,2020-04-28 9:38AM EDT,5.5,0.01,0.0,0.02,0.0,-,1,24,187.50%,call,NOK
9,NOK200522C00006000,2020-04-20 12:04AM EDT,6.0,0.07,0.0,0.03,0.0,-,1,1,228.13%,call,NOK
10,NOK200522P00002500,2020-04-24 3:41PM EDT,2.5,0.02,0.0,0.03,0.0,-,55,28,159.38%,put,NOK
11,NOK200522P00003000,2020-05-15 9:30AM EDT,3.0,0.02,0.0,0.01,0.0,-,7,298,62.50%,put,NOK
12,NOK200522P00003500,2020-05-15 3:53PM EDT,3.5,0.1,0.1,0.11,-0.06,-37.50%,38,695,46.88%,put,NOK
13,NOK200522P00004000,2020-05-14 3:42PM EDT,4.0,0.58,0.47,0.64,0.0,-,207,182,65.63%,put,NOK
14,NOK200522P00004500,2020-05-06 12:59PM EDT,4.5,1.02,1.02,1.21,0.0,-,1,52,187.50%,put,NOK
15,NOK200522P00005000,2020-05-01 3:19PM EDT,5.0,1.4,1.44,1.67,0.0,-,4,2,137.50%,put,NOK
16,NOK200529C00001000,2020-05-15 2:36PM EDT,1.0,2.52,-,-,-0.04,-1.56%,-,-,0.00%,call,NOK
17,NOK200529C00001500,2020-05-01 9:30AM EDT,1.5,1.96,1.89,2.04,0.0,-,1,1,243.75%,call,NOK
18,NOK200529C00002500,2020-04-27 3:31PM EDT,2.5,0.97,0.84,1.06,0.0,-,1,1,50.00%,call,NOK
19,NOK200529C00003000,2020-05-15 3:46PM EDT,3.0,0.47,0.47,0.50,0.04,+9.30%,24,173,71.88%,call,NOK
20,NOK200529C00003500,2020-05-15 3:59PM EDT,3.5,0.1,0.07,0.11,0.01,+11.11%,441,1288,50.78%,call,NOK
21,NOK200529C00004000,2020-05-15 1:11PM EDT,4.0,0.01,0.02,0.03,-0.01,-50.00%,355,1421,64.84%,call,NOK
22,NOK200529C00004500,2020-05-15 11:24AM EDT,4.5,0.01,0.00,0.03,0.0,-,207,295,87.50%,call,NOK
23,NOK200529C00005000,2020-05-15 1:06PM EDT,5.0,0.02,0.00,0.03,-0.02,-50.00%,50,158,112.50%,call,NOK
24,NOK200529C00005500,2020-05-01 2:40PM EDT,5.5,0.01,0.00,0.03,0.0,-,10,15,134.38%,call,NOK
25,NOK200529C00006000,2020-04-20 9:30AM EDT,6.0,0.04,0.00,0.03,0.0,-,-,5,156.25%,call,NOK
26,NOK200529P00002500,2020-04-29 10:10AM EDT,2.5,0.03,0.0,0.02,0.0,-,10,209,100.00%,put,NOK
27,NOK200529P00003000,2020-05-14 10:35AM EDT,3.0,0.03,0.01,0.04,0.0,-,108,228,65.63%,put,NOK
28,NOK200529P00003500,2020-05-15 3:17PM EDT,3.5,0.15,0.13,0.16,-0.03,-16.67%,321,1023,50.78%,put,NOK
29,NOK200529P00004000,2020-05-14 1:45PM EDT,4.0,0.65,0.54,0.58,0.0,-,2,22,51.56%,put,NOK
30,NOK200605C00002000,2020-05-14 10:27AM EDT,2.0,1.33,-,-,0.0,-,-,-,0.00%,call,NOK
31,NOK200605C00002500,2020-05-14 11:16AM EDT,2.5,0.95,-,-,0.0,-,-,-,0.00%,call,NOK
32,NOK200605C00003000,2020-05-15 1:17PM EDT,3.0,0.51,0.46,0.54,0.07,+15.91%,4,59,66.41%,call,NOK
33,NOK200605C00003500,2020-05-15 3:35PM EDT,3.5,0.14,0.11,0.15,0.01,+7.69%,156,233,53.91%,call,NOK
34,NOK200605C00004000,2020-05-15 1:16PM EDT,4.0,0.03,0.02,0.04,-0.02,-40.00%,107,463,54.69%,call,NOK
35,NOK200605C00004500,2020-05-12 11:59AM EDT,4.5,0.03,0.01,0.03,0.0,-,432,1642,75.00%,call,NOK
36,NOK200605C00005000,2020-04-29 12:31PM EDT,5.0,0.03,0.00,0.03,0.0,-,10,14,90.63%,call,NOK
